epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85202,3.19375,8.55039,1.88018,0,0,0,0,4.49575,7.47358,2.31229,4e-05,4e-05,4e-05
2,5.25622,4.08042,10.6103,2.17079,0,0,0,0,4.07889,7.77033,2.18207,9.901e-05,9.901e-05,9.901e-05
3,7.7592,3.37058,7.75054,1.76394,0,0,0,0,4.05257,8.95839,2.10801,0.000156832,0.000156832,0.000156832
4,9.46197,3.52905,7.28858,1.83862,0.00899,0.11111,0.00418,0.0014,2.89253,14.7842,1.71418,0.000213466,0.000213466,0.000213466
5,10.9994,2.69203,4.40068,1.63305,0.32879,0.16667,0.17685,0.08103,2.53517,7.08145,1.35217,0.000268912,0.000268912,0.000268912
6,12.6354,2.15705,3.25636,1.33586,0.06144,0.11111,0.02311,0.0092,2.13024,4.03298,1.30563,0.00032317,0.00032317,0.00032317
7,13.9857,1.8294,2.67568,1.08082,0.07406,0.05556,0.01589,0.00975,1.74149,5.45051,1.16726,0.00037624,0.00037624,0.00037624
8,15.5038,1.73605,1.79624,1.17261,0.0427,0.05556,0.00898,0.00568,1.8339,6.13948,1.16239,0.000428122,0.000428122,0.000428122
9,16.895,1.83566,1.73948,1.12773,0.25565,0.16667,0.12467,0.03363,1.71421,4.78114,1.10387,0.000478816,0.000478816,0.000478816
10,18.8361,1.71895,1.68825,1.0333,0.03646,0.27778,0.02374,0.01285,1.71046,6.30393,1.09926,0.000528322,0.000528322,0.000528322
11,20.704,2.09172,1.55284,1.06992,0.11682,0.44444,0.07071,0.02506,1.87337,6.04067,1.19447,0.00057664,0.00057664,0.00057664
12,22.1285,1.7217,1.27736,1.04373,0.09743,0.22222,0.04741,0.01541,1.79716,5.85387,1.18532,0.00062377,0.00062377,0.00062377
13,23.5251,1.73094,1.29135,1.03172,0.2441,0.44444,0.16448,0.08404,1.6728,4.79381,1.14924,0.000669712,0.000669712,0.000669712
14,25.0154,1.91244,1.47878,1.46274,0.21112,0.55556,0.15885,0.06887,1.50465,5.22933,1.04323,0.000714466,0.000714466,0.000714466
15,26.4168,1.55908,1.00023,1.02976,0.20724,0.33333,0.12616,0.06282,1.47783,4.73968,1.04613,0.000758032,0.000758032,0.000758032
16,27.843,1.50627,1.21431,1.01002,0.21078,0.3415,0.12666,0.06114,1.53902,3.90467,1.05399,0.00080041,0.00080041,0.00080041
17,29.3039,1.69627,1.13617,1.10104,0.90981,0.72222,0.75486,0.41217,1.3801,1.98858,1.00832,0.0008416,0.0008416,0.0008416
18,31.1144,1.26633,0.8252,0.9641,0.75115,0.67101,0.77178,0.40837,1.32346,2.15258,0.99118,0.000881602,0.000881602,0.000881602
19,33.003,1.91918,1.14522,1.0648,0.45136,0.77778,0.44128,0.21759,1.35265,2.13901,0.99862,0.000920416,0.000920416,0.000920416
20,34.3418,1.49879,1.05561,1.00059,0.57041,0.83333,0.56141,0.30714,1.4228,1.71499,1.00583,0.000958042,0.000958042,0.000958042
21,35.9577,1.56978,0.96007,1.00393,0.81919,0.77778,0.826,0.45149,1.32265,1.25017,0.99019,0.00099448,0.00099448,0.00099448
22,37.4887,1.49185,0.94065,1.04635,0.7736,0.77778,0.68277,0.40285,1.28847,1.23204,0.96932,0.00102973,0.00102973,0.00102973
23,38.7651,1.57416,0.88192,1.00649,0.81292,0.77778,0.76494,0.41674,1.27588,1.31992,0.97044,0.00106379,0.00106379,0.00106379
24,40.1652,1.4573,1.02377,1.08471,0.77426,0.61111,0.61779,0.38492,1.30144,1.35556,0.98537,0.00109667,0.00109667,0.00109667
25,41.4927,2.16813,1.59893,1.12684,0.81676,0.55556,0.62526,0.39822,1.32811,1.38391,1.01056,0.00112835,0.00112835,0.00112835
